obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.HNSH,3.24,B,P,5.24,C,S
N.AIOH,3.73,B,P,6.05,C,S
N.UUMH,4.57,B,P,7.51,C,S
N.KMGH,5.37,B,P,8.66,C,S
N.SETH,5.90,B,P,9.77,C,S
N.SGUH,6.20,B,P,10.32,C,S
N.KKGH,7.63,B,P,12.78,C,S
N.NKOH,8.25,B,P,13.66,C,S
N.MKIH,8.50,B,P,14.13,C,S
N.OHCH,8.53,B,P,14.44,C,S
N.TAMH,8.65,B,P,14.52,C,S
N.YMSH,8.65,B,P,14.50,C,S
N.OHAH,8.85,B,P,14.86,C,S
N.SYOH,9.30,B,P,15.57,C,S
N.TKBH,9.63,B,P,15.99,C,S
N.AYKH,10.75,B,P,18.41,C,S
N.KAMH,11.69,B,P,19.72,C,S
N.CHZH,11.81,B,P,20.15,C,S
N.TJOH,12.07,B,P,20.32,C,S
N.WKYH,21.84,B,P,99.99,*,S
N.TOKH,12.93,B,P,99.99,*,S
N.KNHH,15.54,B,P,25.96,C,S
N.NMKH,16.68,B,P,28.73,C,S
N.IAMH,17.05,B,P,28.85,C,S
