obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.IKNH,2.12,B,P,3.30,C,S
N.MKWH,2.52,B,P,4.06,C,S
N.SKIH,3.92,B,P,6.48,C,S
N.SYTH,4.49,B,P,7.47,C,S
N.MICH,4.94,B,P,8.18,C,S
N.OKMH,5.41,B,P,9.06,C,S
N.HISH,6.23,B,P,10.21,C,S
N.TKJH,6.80,B,P,11.50,C,S
N.TKUH,6.90,B,P,11.51,C,S
N.HIKH,7.04,B,P,99.99,*,S
N.KRHH,7.10,B,P,11.93,C,S
N.TGUH,7.25,B,P,11.92,C,S
N.TOHH,7.80,B,P,13.19,C,S
N.KNSH,8.05,B,P,13.50,C,S
N.KURH,8.94,B,P,15.01,C,S
N.MTMH,8.95,B,P,15.22,C,S
N.MITH,9.12,B,P,15.30,C,S
N.TMGH,10.18,B,P,99.99,*,S
N.MTOH,11.56,B,P,19.75,C,S
N.HGIH,11.69,B,P,19.59,C,S
N.HHIH,11.85,B,P,20.00,C,S
N.KNGH,12.58,B,P,21.16,C,S
N.UBEH,13.38,B,P,22.74,C,S
N.HSMH,14.65,B,P,24.79,C,S
N.TBEH,14.65,B,P,24.82,C,S
N.MISH,16.08,B,P,99.99,*,S
N.OOCH,17.24,B,P,29.49,C,S
N.TYUH,17.98,B,P,31.24,C,S
N.BZNH,18.89,B,P,32.02,C,S
N.NMKH,19.09,B,P,32.85,C,S
