obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MHRH,2.97,B,P,4.87,C,S
N.WKYH,3.88,B,P,6.44,C,S
N.TJRH,6.35,B,P,10.70,C,S
N.NKMH,8.33,B,P,13.97,C,S
N.NAGH,9.13,B,P,15.70,C,S
N.KKGH,9.14,B,P,15.30,C,S
N.HRKH,9.42,B,P,15.54,C,S
N.TOKH,9.45,B,P,15.64,C,S
N.UUMH,9.20,B,P,15.64,C,S
N.KNHH,9.52,B,P,16.17,C,S
N.TJOH,11.11,B,P,18.72,C,S
N.MKIH,11.88,B,P,20.32,C,S
N.HNSH,12.04,B,P,20.42,C,S
N.SGUH,12.22,B,P,99.99,*,S
N.KAMH,14.02,B,P,23.76,C,S
N.TKBH,18.29,B,P,31.46,C,S
N.CHZH,19.54,B,P,99.99,*,S
