obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.OOCH,3.39,B,P,5.51,C,S
N.YSDH,3.94,B,P,6.44,C,S
N.HSMH,4.04,B,P,6.66,C,S
N.SDAH,4.04,B,P,6.43,C,S
N.KTWH,4.81,B,P,99.99,*,S
N.IWAH,5.69,B,P,9.45,C,S
N.GOTH,6.40,B,P,10.48,C,S
N.KACH,6.78,B,P,11.40,C,S
N.NITH,7.26,B,P,12.16,C,S
N.YSHH,7.60,B,P,12.67,C,S
N.HIRH,7.97,B,P,13.49,C,S
N.GEIH,7.79,B,P,12.89,C,S
N.KSAH,8.09,B,P,13.62,C,S
N.KNGH,8.48,B,P,14.34,C,S
N.SGOH,9.95,B,P,16.58,C,S
N.HKTH,10.15,B,P,16.82,C,S
N.KSIH,10.72,B,P,17.59,C,S
N.HHIH,11.42,B,P,19.14,C,S
N.TTAH,11.55,B,P,19.32,C,S
N.MITH,12.21,B,P,20.59,C,S
N.HISH,21.75,B,P,99.99,*,S
N.MIHH,13.80,B,P,23.28,C,S
N.KURH,14.41,B,P,24.28,C,S
N.HKBH,14.45,B,P,24.29,C,S
N.KNBH,14.60,B,P,24.76,C,S
N.SKIH,14.78,B,P,25.05,C,S
N.NMKH,16.25,B,P,27.86,C,S
N.TKBH,30.54,B,P,99.99,*,S
N.MKWH,19.08,B,P,32.28,C,S
