obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MHRH,2.88,B,P,4.68,C,S
N.WKYH,3.94,B,P,6.42,C,S
N.TJRH,6.45,B,P,10.82,C,S
N.NKMH,8.37,B,P,14.11,C,S
N.KKGH,9.06,B,P,15.24,C,S
N.NAGH,9.15,B,P,15.81,C,S
N.HRKH,9.46,B,P,15.62,C,S
N.TOKH,9.40,B,P,15.60,C,S
N.UUMH,9.12,B,P,15.47,C,S
N.KNHH,9.56,B,P,16.23,C,S
N.TJOH,11.09,B,P,18.76,C,S
N.MKIH,11.80,B,P,20.08,C,S
N.HNSH,11.96,B,P,20.25,C,S
N.SGUH,12.20,B,P,20.55,C,S
N.YMSH,13.14,B,P,22.21,C,S
N.KMGH,13.37,B,P,22.72,C,S
N.KAMH,14.03,B,P,23.68,C,S
N.TKBH,18.23,B,P,31.31,C,S
