obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KNGH,2.61,B,P,4.22,C,S
N.MITH,3.23,B,P,5.33,C,S
N.GEIH,4.67,B,P,7.70,C,S
N.GOTH,5.18,B,P,8.57,C,S
N.IWAH,5.25,B,P,8.65,C,S
N.TGUH,5.32,B,P,99.99,*,S
N.HIKH,5.37,B,P,8.90,C,S
N.HRSH,6.80,B,P,11.36,C,S
N.SKIH,8.34,B,P,13.95,C,S
N.TMGH,8.30,B,P,13.97,C,S
N.HSMH,8.43,B,P,14.07,C,S
N.OOCH,8.54,B,P,14.37,C,S
N.HISH,8.99,B,P,15.02,C,S
N.MICH,9.04,B,P,15.26,C,S
N.MTMH,10.04,B,P,17.04,C,S
N.MKWH,12.06,B,P,20.17,C,S
N.OKMH,12.45,B,P,99.99,*,S
N.HHIH,12.45,B,P,20.99,C,S
N.KURH,12.94,B,P,21.84,C,S
N.KSAH,13.14,B,P,22.18,C,S
N.YSDH,13.29,B,P,22.29,C,S
N.TKJH,13.61,B,P,22.90,C,S
N.HGIH,14.15,B,P,99.99,*,S
N.SYTH,15.05,B,P,25.29,C,S
N.KACH,15.64,B,P,26.39,C,S
N.MIHH,16.16,B,P,99.99,*,S
N.MTOH,16.32,B,P,27.70,C,S
N.TKUH,16.82,B,P,27.95,C,S
N.TOHH,17.18,B,P,99.99,*,S
N.NGTH,17.18,B,P,29.19,C,S
N.KNSH,18.67,B,P,99.99,*,S
