obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TMGH,10.18,B,P,17.48,C,S
N.MTMH,11.92,B,P,20.46,C,S
N.HGIH,12.01,B,P,20.54,C,S
N.NGTH,12.79,B,P,21.82,C,S
N.MITH,13.85,B,P,23.70,C,S
N.HIKH,14.84,B,P,25.50,C,S
N.KNGH,14.88,B,P,25.71,C,S
N.MTOH,14.92,B,P,25.74,C,S
N.MICH,15.24,B,P,26.27,C,S
N.GOTH,15.91,B,P,27.57,C,S
N.TKJH,16.51,B,P,28.46,C,S
N.MNEH,16.79,B,P,29.20,C,S
N.KIKH,16.82,B,P,28.76,C,S
N.TYUH,16.78,B,P,29.07,C,S
N.IWAH,17.80,B,P,30.84,C,S
N.SKIH,18.13,B,P,30.80,C,S
N.MKWH,18.64,B,P,32.06,C,S
N.UBEH,18.99,B,P,32.70,C,S
N.OOCH,19.10,B,P,32.99,C,S
N.HISH,20.73,B,P,35.34,C,S
N.TKUH,20.85,B,P,35.99,C,S
N.KKYH,20.63,B,P,35.84,C,S
N.HSMH,21.08,B,P,36.08,C,S
N.SYTH,22.01,B,P,37.68,C,S
N.OKMH,22.96,B,P,39.62,C,S
N.GENH,22.88,B,P,40.00,C,S
N.YSDH,23.71,B,P,40.84,C,S
N.KURH,24.92,B,P,42.80,C,S
N.KNSH,25.08,B,P,43.36,C,S
N.HHIH,24.64,B,P,43.17,C,S
N.KACH,42.96,B,P,99.99,*,S
N.BZNH,44.27,B,P,99.99,*,S
