obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.GOTH,2.51,B,P,3.99,C,S
N.OOCH,3.06,B,P,4.94,C,S
N.IWAH,4.06,B,P,6.71,C,S
N.KNGH,5.03,B,P,8.29,C,S
N.HSMH,5.80,B,P,9.67,C,S
N.GEIH,6.38,B,P,10.65,C,S
N.SDAH,6.46,B,P,10.86,C,S
N.YSDH,7.74,B,P,12.96,C,S
N.KTWH,8.91,B,P,14.97,C,S
N.YSHH,8.98,B,P,15.06,C,S
N.MITH,9.09,B,P,15.43,C,S
N.HRSH,9.25,B,P,15.61,C,S
N.HIRH,9.85,B,P,15.99,C,S
N.KACH,9.68,B,P,16.42,C,S
N.TGUH,9.83,B,P,16.53,C,S
N.KSAH,11.17,B,P,18.40,C,S
N.HISH,12.36,B,P,20.77,C,S
N.HHIH,12.99,B,P,22.08,C,S
N.SKIH,13.22,B,P,22.37,C,S
N.KSIH,13.22,B,P,22.21,C,S
N.TMGH,13.87,B,P,23.85,C,S
N.HKTH,14.03,B,P,24.11,C,S
N.SGOH,14.20,B,P,24.24,C,S
N.MICH,14.74,B,P,25.05,C,S
N.KURH,14.96,B,P,99.99,*,S
N.TTAH,15.87,B,P,99.99,*,S
N.OKMH,15.92,B,P,27.02,C,S
N.MKWH,17.34,B,P,29.14,C,S
N.NMKH,19.33,B,P,33.26,C,S
