obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKGH,2.55,B,P,4.37,C,S
N.KSBH,3.76,B,P,6.16,C,S
N.AKSH,3.71,B,P,6.19,C,S
N.YBRH,5.82,B,P,9.91,C,S
N.MZKH,9.69,B,P,99.99,*,S
N.KWHH,6.20,B,P,10.46,C,S
N.CHZH,7.16,B,P,12.10,C,S
N.HINH,7.94,B,P,13.60,C,S
N.SYOH,8.37,B,P,13.49,C,S
N.IAMH,8.65,B,P,14.01,C,S
N.MHSH,9.15,B,P,15.57,C,S
N.HKTH,9.21,B,P,15.77,C,S
N.OHAH,9.96,B,P,16.95,C,S
N.HKBH,9.96,B,P,17.04,C,S
N.TKBH,10.79,B,P,18.17,C,S
N.SGOH,10.69,B,P,18.37,C,S
N.TTAH,11.84,B,P,20.18,C,S
N.KMGH,12.64,B,P,21.49,C,S
N.KSIH,12.62,B,P,21.60,C,S
N.SETH,22.70,B,P,99.99,*,S
N.SGUH,24.43,B,P,99.99,*,S
N.KACH,14.26,B,P,24.35,C,S
N.HNSH,14.96,B,P,25.34,C,S
N.KAMH,17.51,B,P,29.89,C,S
N.UUMH,33.40,B,P,99.99,*,S
