obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.OOCH,2.99,B,P,4.91,C,S
N.SDAH,3.24,B,P,5.31,C,S
N.YSDH,5.08,B,P,8.42,C,S
N.GOTH,5.83,B,P,9.76,C,S
N.HIRH,6.14,B,P,10.26,C,S
N.KACH,6.19,B,P,10.31,C,S
N.HSMH,6.99,B,P,11.68,C,S
N.IWAH,6.87,B,P,11.59,C,S
N.KTWH,8.25,B,P,13.80,C,S
N.NITH,8.40,B,P,13.98,C,S
N.KNGH,8.55,B,P,14.50,C,S
N.GEIH,9.34,B,P,15.78,C,S
N.KSIH,9.57,B,P,16.20,C,S
N.HKTH,11.07,B,P,18.68,C,S
N.KSAH,11.65,B,P,19.75,C,S
N.SGOH,12.11,B,P,20.53,C,S
N.MITH,12.61,B,P,21.50,C,S
N.MHSH,13.55,B,P,22.30,C,S
N.TTAH,14.12,B,P,24.02,C,S
N.HHIH,14.60,B,P,24.61,C,S
N.HISH,15.09,B,P,25.61,C,S
N.SKIH,16.39,B,P,27.95,C,S
N.HKBH,16.73,B,P,28.82,C,S
N.AKSH,17.16,B,P,29.06,C,S
N.YBRH,17.05,B,P,28.95,C,S
N.MIHH,17.27,B,P,29.20,C,S
N.KURH,17.32,B,P,29.29,C,S
N.TMGH,17.29,B,P,29.83,C,S
N.BSEH,17.79,B,P,29.92,C,S
N.NMKH,19.68,B,P,33.79,C,S
