obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MIGH,2.99,B,P,4.78,C,S
N.NMKH,3.61,B,P,5.97,C,S
N.MIHH,3.99,B,P,6.54,C,S
N.KNBH,4.74,B,P,7.85,C,S
N.DWAH,5.15,B,P,8.50,C,S
N.MYKH,5.81,B,P,9.65,C,S
N.KSAH,6.90,B,P,11.50,C,S
N.HHIH,6.94,B,P,11.60,C,S
N.BSEH,7.28,B,P,12.14,C,S
N.JNSH,7.67,B,P,12.99,C,S
N.MABH,8.80,B,P,14.93,C,S
N.MNOH,9.49,B,P,16.10,C,S
N.KURH,9.52,B,P,16.12,C,S
N.YSHH,9.62,B,P,16.27,C,S
N.TTAH,9.76,B,P,16.42,C,S
N.HKBH,11.54,B,P,19.57,C,S
N.SGOH,11.77,B,P,19.77,C,S
N.HSMH,12.01,B,P,20.40,C,S
N.SINH,12.13,B,P,20.46,C,S
N.TKBH,12.95,B,P,22.12,C,S
N.TBEH,15.54,B,P,26.42,C,S
N.OOCH,15.96,B,P,27.29,C,S
N.HKTH,15.91,B,P,27.15,C,S
N.SKIH,16.09,B,P,27.40,C,S
N.UUMH,17.00,B,P,29.12,C,S
N.MKWH,18.79,B,P,32.23,C,S
