obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKGH,2.68,B,P,4.25,C,S
N.KSBH,3.50,B,P,5.86,C,S
N.AKSH,4.05,B,P,6.74,C,S
N.YBRH,5.71,B,P,9.52,C,S
N.KWHH,6.04,B,P,10.09,C,S
N.MZKH,5.87,B,P,9.95,C,S
N.CHZH,6.88,B,P,11.66,C,S
N.SYOH,8.05,B,P,13.72,C,S
N.HINH,8.05,B,P,13.75,C,S
N.IAMH,8.53,B,P,14.36,C,S
N.MHSH,9.48,B,P,99.99,*,S
N.HKTH,9.37,B,P,15.88,C,S
N.OHAH,9.64,B,P,16.26,C,S
N.HKBH,9.81,B,P,16.69,C,S
N.TKBH,10.51,B,P,17.77,C,S
N.SGOH,10.79,B,P,18.31,C,S
N.TTAH,11.80,B,P,19.95,C,S
N.KMGH,12.37,B,P,20.87,C,S
N.KSIH,12.92,B,P,99.99,*,S
N.SETH,22.15,B,P,99.99,*,S
N.SGUH,14.16,B,P,24.10,C,S
N.HNSH,24.71,B,P,99.99,*,S
N.KACH,14.46,B,P,24.71,C,S
N.KAMH,17.30,B,P,29.34,C,S
N.UUMH,19.25,B,P,32.68,C,S
