obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KKGH,2.52,B,P,4.10,C,S
N.TJOH,5.47,B,P,8.96,C,S
N.AIOH,6.15,B,P,10.20,C,S
N.SGUH,6.36,B,P,10.56,C,S
N.YMSH,6.46,B,P,10.70,C,S
N.KAMH,7.22,B,P,11.97,C,S
N.KMGH,8.82,B,P,14.76,C,S
N.KNHH,8.81,B,P,14.93,C,S
N.HNSH,9.18,B,P,15.41,C,S
N.WKYH,9.73,B,P,16.60,C,S
N.UUMH,9.85,B,P,16.60,C,S
N.SNTH,10.60,B,P,17.74,C,S
N.OHAH,10.75,B,P,18.15,C,S
N.CHZH,23.12,B,P,99.99,*,S
N.TOKH,25.13,B,P,99.99,*,S
N.TKBH,15.41,B,P,25.75,C,S
N.IAMH,17.41,B,P,29.21,C,S
