obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SDAH,1.92,B,P,3.11,C,S
N.YSDH,3.23,B,P,5.37,C,S
N.KACH,3.49,B,P,5.81,C,S
N.HIRH,4.01,B,P,6.82,C,S
N.OOCH,5.00,B,P,8.34,C,S
N.NITH,5.87,B,P,9.77,C,S
N.KSIH,7.08,B,P,11.92,C,S
N.KTWH,7.53,B,P,12.71,C,S
N.HSMH,7.93,B,P,13.25,C,S
N.GOTH,8.31,B,P,14.06,C,S
N.HKTH,8.44,B,P,14.25,C,S
N.IWAH,8.91,B,P,15.06,C,S
N.SGOH,10.02,B,P,17.11,C,S
N.MHSH,10.83,B,P,18.58,C,S
N.KNGH,10.93,B,P,18.57,C,S
N.KSAH,11.39,B,P,19.31,C,S
N.TTAH,12.40,B,P,99.99,*,S
N.AKSH,14.51,B,P,24.47,C,S
N.YBRH,14.47,B,P,24.75,C,S
N.HKBH,14.80,B,P,25.37,C,S
N.HHIH,15.16,B,P,25.70,C,S
N.MITH,14.94,B,P,25.56,C,S
N.SKGH,15.63,B,P,26.74,C,S
N.BSEH,16.29,B,P,27.79,C,S
N.HISH,16.61,B,P,28.28,C,S
N.KNBH,16.75,B,P,28.83,C,S
N.MIHH,17.22,B,P,29.19,C,S
N.KURH,18.08,B,P,30.91,C,S
N.SKIH,18.27,B,P,31.22,C,S
N.TKBH,18.50,B,P,31.56,C,S
N.NMKH,18.90,B,P,32.38,C,S
