obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.DWAH,3.31,B,P,5.51,C,S
N.HHIH,3.79,B,P,6.26,C,S
N.KSAH,4.75,B,P,7.84,C,S
N.MIHH,4.79,B,P,7.87,C,S
N.MIGH,5.00,B,P,8.36,C,S
N.YSHH,5.41,B,P,9.00,C,S
N.KURH,6.81,B,P,11.20,C,S
N.MYKH,7.37,B,P,12.50,C,S
N.JNSH,7.77,B,P,13.20,C,S
N.HRSH,7.84,B,P,13.09,C,S
N.KTWH,7.97,B,P,99.99,*,S
N.HSMH,8.00,B,P,13.59,C,S
N.NMKH,8.17,B,P,14.17,C,S
N.HISH,8.64,B,P,14.53,C,S
N.KNBH,8.64,B,P,14.81,C,S
N.OKMH,10.00,B,P,16.42,C,S
N.IWAH,10.08,B,P,17.13,C,S
N.BSEH,10.47,B,P,18.06,C,S
N.TTAH,11.12,B,P,18.92,C,S
N.SKIH,11.77,B,P,20.14,C,S
N.SGOH,12.00,B,P,20.48,C,S
N.OOCH,12.00,B,P,20.57,C,S
N.MKWH,14.97,B,P,25.65,C,S
N.TBEH,14.84,B,P,99.99,*,S
N.HKTH,15.30,B,P,26.17,C,S
N.TKBH,15.83,B,P,27.27,C,S
N.TMGH,18.38,B,P,99.99,*,S
N.MHSH,20.10,B,P,34.30,C,S
