obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KKGH,2.88,B,P,4.72,C,S
N.YMSH,4.33,B,P,7.23,C,S
N.TJOH,4.60,B,P,7.68,C,S
N.KAMH,4.72,B,P,7.79,C,S
N.SGUH,5.24,B,P,8.89,C,S
N.AIOH,6.25,B,P,10.58,C,S
N.NKOH,7.60,B,P,12.91,C,S
N.SNTH,7.96,B,P,13.29,C,S
N.KMGH,8.20,B,P,13.88,C,S
N.OHAH,9.22,B,P,15.68,C,S
N.FKCH,9.35,B,P,15.57,C,S
N.HNSH,9.35,B,P,16.10,C,S
N.KNHH,9.85,B,P,16.42,C,S
N.KMEH,10.68,B,P,17.94,C,S
N.UUMH,11.52,B,P,19.54,C,S
N.CHZH,11.85,B,P,20.09,C,S
N.IAMH,14.87,B,P,99.99,*,S
N.TKBH,14.85,B,P,25.66,C,S
N.TOKH,17.27,B,P,29.32,C,S
