obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KKGH,2.51,B,P,4.06,C,S
N.TJOH,5.47,B,P,8.99,C,S
N.AIOH,6.14,B,P,10.18,C,S
N.SGUH,6.35,B,P,10.51,C,S
N.YMSH,6.45,B,P,10.70,C,S
N.KAMH,7.21,B,P,12.00,C,S
N.KMGH,8.81,B,P,14.72,C,S
N.KNHH,8.84,B,P,14.88,C,S
N.HNSH,9.15,B,P,15.30,C,S
N.WKYH,9.73,B,P,16.50,C,S
N.UUMH,9.84,B,P,16.65,C,S
N.SNTH,10.58,B,P,17.74,C,S
N.OHAH,10.76,B,P,18.11,C,S
N.FKCH,11.86,B,P,19.79,C,S
N.CHZH,13.67,B,P,23.19,C,S
N.TOKH,15.00,B,P,24.96,C,S
N.TKBH,15.19,B,P,26.16,C,S
N.IAMH,17.37,B,P,29.18,C,S
