obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SDAH,1.89,B,P,3.05,C,S
N.YSDH,3.21,B,P,5.30,C,S
N.KACH,3.49,B,P,5.75,C,S
N.HIRH,4.03,B,P,6.82,C,S
N.OOCH,4.99,B,P,8.29,C,S
N.NITH,5.85,B,P,9.70,C,S
N.KSIH,7.10,B,P,12.02,C,S
N.KTWH,7.51,B,P,12.65,C,S
N.HSMH,7.89,B,P,13.20,C,S
N.GOTH,8.29,B,P,14.04,C,S
N.HKTH,8.41,B,P,14.22,C,S
N.IWAH,8.89,B,P,14.99,C,S
N.SGOH,10.00,B,P,16.93,C,S
N.MHSH,10.96,B,P,99.99,*,S
N.KNGH,10.91,B,P,18.63,C,S
N.KSAH,11.34,B,P,99.99,*,S
N.TTAH,12.36,B,P,20.96,C,S
N.AKSH,14.46,B,P,24.30,C,S
N.YBRH,14.46,B,P,24.55,C,S
N.HKBH,14.77,B,P,25.21,C,S
N.HHIH,15.09,B,P,25.63,C,S
N.MITH,14.90,B,P,25.52,C,S
N.SKGH,15.74,B,P,26.53,C,S
N.BSEH,16.32,B,P,27.59,C,S
N.HISH,16.53,B,P,28.29,C,S
N.KNBH,16.80,B,P,28.66,C,S
N.MIHH,17.11,B,P,29.12,C,S
N.KURH,18.12,B,P,30.97,C,S
N.SKIH,18.22,B,P,31.36,C,S
N.TKBH,18.46,B,P,31.51,C,S
N.NMKH,18.98,B,P,32.55,C,S
