obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.OHCH,6.91,B,P,11.56,C,S
N.TOKH,6.91,B,P,11.70,C,S
N.SADH,7.19,B,P,11.77,C,S
N.KYDH,7.53,B,P,12.32,C,S
N.MKIH,7.63,B,P,12.83,C,S
N.HWSH,8.31,B,P,13.88,C,S
N.AYKH,8.70,B,P,14.71,C,S
N.IKWH,8.93,B,P,14.78,C,S
N.KNNH,9.17,B,P,15.47,C,S
N.UUMH,9.02,B,P,15.32,C,S
N.MNOH,11.01,B,P,99.99,*,S
N.SINH,11.77,B,P,19.68,C,S
N.WKYH,13.21,B,P,22.03,C,S
N.NMKH,15.62,B,P,99.99,*,S
N.TKBH,15.85,B,P,27.06,C,S
N.KNHH,30.57,B,P,99.99,*,S
N.KAMH,19.12,B,P,99.99,*,S
N.CHZH,20.12,B,P,99.99,*,S
