obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TMGH,4.04,B,P,6.71,C,S
N.MTMH,6.12,B,P,10.43,C,S
N.MITH,7.22,B,P,12.08,C,S
N.HIKH,7.79,B,P,13.13,C,S
N.HGIH,8.58,B,P,14.45,C,S
N.MICH,8.83,B,P,14.83,C,S
N.KNGH,9.46,B,P,16.15,C,S
N.TGUH,10.54,B,P,17.87,C,S
N.TKJH,10.98,B,P,99.99,*,S
N.NGTH,10.95,B,P,18.74,C,S
N.SKIH,11.42,B,P,19.22,C,S
N.GOTH,11.27,B,P,19.42,C,S
N.MTOH,11.47,B,P,19.50,C,S
N.GEIH,11.70,B,P,20.00,C,S
N.MKWH,12.49,B,P,21.09,C,S
N.IWAH,12.36,B,P,21.21,C,S
N.HRSH,13.18,B,P,22.25,C,S
N.IKNH,13.60,B,P,22.95,C,S
N.HISH,13.94,B,P,23.49,C,S
N.MNEH,14.58,B,P,25.28,C,S
N.OOCH,14.76,B,P,25.44,C,S
N.TKUH,15.40,B,P,26.00,C,S
N.SYTH,15.59,B,P,26.57,C,S
N.UBEH,15.66,B,P,26.79,C,S
N.HSMH,15.40,B,P,26.46,C,S
N.OKMH,16.38,B,P,27.46,C,S
N.TYUH,16.01,B,P,27.47,C,S
N.KURH,18.19,B,P,30.80,C,S
N.HHIH,18.71,B,P,31.97,C,S
N.KNSH,19.15,B,P,32.52,C,S
N.KKYH,19.04,B,P,32.77,C,S
N.TOHH,19.79,B,P,33.61,C,S
N.YSDH,19.63,B,P,33.58,C,S
