obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MTOH,4.44,B,P,7.25,C,S
N.HOFH,4.68,B,P,7.45,C,S
N.TKJH,5.45,B,P,9.17,C,S
N.UBEH,5.56,B,P,9.36,C,S
N.HGIH,6.09,B,P,10.38,C,S
N.MNEH,6.34,B,P,10.78,C,S
N.NGTH,6.67,B,P,11.44,C,S
N.KIKH,7.39,B,P,12.64,C,S
N.TKUH,7.48,B,P,12.58,C,S
N.MTMH,7.76,B,P,13.18,C,S
N.MICH,8.76,B,P,15.02,C,S
N.TYUH,8.97,B,P,15.01,C,S
N.MKWH,9.03,B,P,15.35,C,S
N.KKYH,9.55,B,P,16.42,C,S
N.TMGH,9.94,B,P,16.57,C,S
N.SYTH,10.23,B,P,17.12,C,S
N.BZNH,11.62,B,P,20.11,C,S
N.KNSH,11.98,B,P,20.55,C,S
N.SKIH,12.01,B,P,20.58,C,S
N.YMGH,13.01,B,P,22.66,C,S
N.AKIH,13.26,B,P,22.68,C,S
N.MITH,13.69,B,P,23.34,C,S
N.OKMH,14.69,B,P,99.99,*,S
N.TOHH,15.19,B,P,99.99,*,S
N.GENH,15.20,B,P,99.99,*,S
N.YGNH,15.21,B,P,26.10,C,S
N.UMIH,17.72,B,P,99.99,*,S
N.UKHH,18.69,B,P,99.99,*,S
