obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.IKNH,2.33,B,P,3.71,C,S
N.MKWH,2.61,B,P,4.23,C,S
N.SKIH,3.94,B,P,6.53,C,S
N.SYTH,4.62,B,P,7.65,C,S
N.MICH,4.85,B,P,8.06,C,S
N.OKMH,5.57,B,P,9.32,C,S
N.HISH,6.29,B,P,10.37,C,S
N.TKJH,6.71,B,P,11.39,C,S
N.HIKH,6.94,B,P,99.99,*,S
N.TKUH,6.93,B,P,11.61,C,S
N.TGUH,7.21,B,P,12.21,C,S
N.KRHH,7.23,B,P,12.26,C,S
N.TOHH,7.98,B,P,13.42,C,S
N.KNSH,8.15,B,P,13.65,C,S
N.MTMH,8.79,B,P,14.93,C,S
N.KURH,9.04,B,P,15.19,C,S
N.MITH,9.02,B,P,15.25,C,S
N.TMGH,10.05,B,P,16.86,C,S
N.MTOH,19.58,B,P,99.99,*,S
N.HGIH,11.57,B,P,19.40,C,S
N.HHIH,11.92,B,P,20.04,C,S
N.KNGH,12.51,B,P,99.99,*,S
N.UBEH,13.34,B,P,99.99,*,S
N.HSMH,14.64,B,P,24.77,C,S
N.TBEH,24.85,B,P,99.99,*,S
N.OOCH,29.41,B,P,99.99,*,S
N.TYUH,30.81,B,P,99.99,*,S
N.BZNH,31.98,B,P,99.99,*,S
N.NMKH,33.23,B,P,99.99,*,S
