obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKGH,2.53,B,P,4.26,C,S
N.KSBH,3.70,B,P,6.16,C,S
N.AKSH,3.75,B,P,6.18,C,S
N.YBRH,5.73,B,P,9.66,C,S
N.MZKH,5.76,B,P,9.61,C,S
N.KWHH,6.18,B,P,10.51,C,S
N.CHZH,7.11,B,P,12.05,C,S
N.HINH,8.03,B,P,13.47,C,S
N.SYOH,8.30,B,P,14.08,C,S
N.IAMH,8.65,B,P,14.51,C,S
N.MHSH,9.20,B,P,99.99,*,S
N.HKTH,9.27,B,P,15.64,C,S
N.OHAH,9.90,B,P,17.00,C,S
N.HKBH,9.90,B,P,16.79,C,S
N.TKBH,10.71,B,P,18.11,C,S
N.SGOH,10.72,B,P,18.26,C,S
N.TTAH,11.82,B,P,20.04,C,S
N.KMGH,12.61,B,P,21.51,C,S
N.KSIH,12.67,B,P,21.45,C,S
N.SETH,22.61,B,P,99.99,*,S
N.SGUH,14.40,B,P,24.67,C,S
N.KACH,14.23,B,P,24.27,C,S
N.HNSH,14.87,B,P,99.99,*,S
N.KAMH,17.49,B,P,29.74,C,S
