obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.NITH,2.71,B,P,4.38,C,S
N.HKTH,2.90,B,P,4.79,C,S
N.KACH,4.21,B,P,6.91,C,S
N.HINH,4.87,B,P,8.16,C,S
N.KSIH,5.11,B,P,8.56,C,S
N.YSDH,5.39,B,P,9.13,C,S
N.SGOH,6.07,B,P,10.27,C,S
N.MHSH,6.24,B,P,10.57,C,S
N.HIRH,6.20,B,P,10.34,C,S
N.MZKH,6.06,B,P,10.21,C,S
N.SDAH,6.89,B,P,11.67,C,S
N.KTWH,8.41,B,P,14.00,C,S
N.AKSH,8.61,B,P,14.75,C,S
N.TTAH,8.90,B,P,15.11,C,S
N.YBRH,8.89,B,P,15.13,C,S
N.SKGH,9.82,B,P,16.67,C,S
N.OOCH,10.18,B,P,17.47,C,S
N.HKBH,10.26,B,P,17.59,C,S
N.HSMH,11.17,B,P,19.04,C,S
N.KSAH,11.93,B,P,20.21,C,S
N.BSEH,13.26,B,P,22.68,C,S
N.IWAH,13.25,B,P,22.90,C,S
N.TKBH,13.71,B,P,23.18,C,S
N.KNBH,14.63,B,P,25.03,C,S
N.SYOH,15.49,B,P,26.47,C,S
N.KNGH,15.82,B,P,27.55,C,S
N.CHZH,16.37,B,P,27.97,C,S
N.NMKH,17.45,B,P,30.19,C,S
N.IAMH,18.83,B,P,32.29,C,S
