obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TKJH,2.20,B,P,3.59,C,S
N.HOFH,4.23,B,P,7.13,C,S
N.MKWH,4.69,B,P,7.61,C,S
N.TKUH,4.77,B,P,7.97,C,S
N.MICH,5.17,B,P,8.70,C,S
N.MTOH,6.26,B,P,10.52,C,S
N.MTMH,6.37,B,P,10.79,C,S
N.SYTH,6.56,B,P,10.90,C,S
N.IKNH,6.62,B,P,99.99,*,S
N.HGIH,7.20,B,P,12.17,C,S
N.UBEH,8.08,B,P,13.80,C,S
N.SKIH,8.19,B,P,13.66,C,S
N.TMGH,8.64,B,P,99.99,*,S
N.HIKH,8.86,B,P,14.92,C,S
N.KNSH,9.36,B,P,15.87,C,S
N.NGTH,9.40,B,P,15.94,C,S
N.MNEH,9.59,B,P,16.37,C,S
N.OKMH,10.87,B,P,18.25,C,S
N.MITH,10.89,B,P,18.39,C,S
N.HISH,11.35,B,P,19.06,C,S
N.TOHH,11.84,B,P,19.83,C,S
N.TYUH,12.60,B,P,21.39,C,S
N.KKYH,13.00,B,P,22.18,C,S
N.AKIH,13.50,B,P,22.70,C,S
N.KURH,14.38,B,P,24.53,C,S
N.YMGH,14.35,B,P,24.36,C,S
N.BZNH,14.51,B,P,24.50,C,S
N.KNGH,14.97,B,P,25.47,C,S
