obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.NMKH,2.36,B,P,3.75,C,S
N.KNBH,3.27,B,P,5.36,C,S
N.MIGH,4.11,B,P,6.84,C,S
N.MIHH,5.62,B,P,9.40,C,S
N.BSEH,5.90,B,P,9.78,C,S
N.DWAH,6.82,B,P,11.37,C,S
N.MYKH,6.87,B,P,11.54,C,S
N.MABH,7.13,B,P,11.89,C,S
N.MNOH,7.90,B,P,13.30,C,S
N.JNSH,8.13,B,P,13.57,C,S
N.KSAH,8.19,B,P,13.73,C,S
N.HHIH,8.78,B,P,14.79,C,S
N.TAMH,9.07,B,P,15.16,C,S
N.TTAH,9.19,B,P,15.80,C,S
N.HKBH,10.56,B,P,17.81,C,S
N.AYKH,10.61,B,P,18.08,C,S
N.SINH,11.23,B,P,18.93,C,S
N.KURH,11.37,B,P,19.37,C,S
N.TKBH,11.49,B,P,19.40,C,S
N.SGOH,11.63,B,P,19.84,C,S
N.IKWH,12.15,B,P,20.55,C,S
N.HSMH,13.58,B,P,22.96,C,S
N.UUMH,15.22,B,P,25.91,C,S
