obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.UUMH,5.52,B,P,9.15,C,S
N.MHRH,5.44,B,P,9.28,C,S
N.AIOH,6.61,B,P,10.93,C,S
N.KKGH,7.18,B,P,11.96,C,S
N.HNSH,7.50,B,P,12.60,C,S
N.OHCH,7.65,B,P,12.99,C,S
N.WKYH,8.47,B,P,14.48,C,S
N.SGUH,8.67,B,P,14.51,C,S
N.MKIH,8.86,B,P,15.02,C,S
N.KMGH,9.25,B,P,15.56,C,S
N.TOKH,10.15,B,P,16.82,C,S
N.SETH,10.06,B,P,17.09,C,S
N.YMSH,10.27,B,P,17.35,C,S
N.TJOH,10.74,B,P,18.10,C,S
N.KAMH,12.17,B,P,20.60,C,S
N.KNHH,11.96,B,P,20.45,C,S
N.TKBH,13.73,B,P,23.66,C,S
N.CHZH,15.46,B,P,26.31,C,S
N.NMKH,19.18,B,P,33.58,C,S
N.IAMH,34.52,B,P,99.99,*,S
