obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.OOCH,2.91,B,P,4.71,C,S
N.SDAH,3.48,B,P,5.46,C,S
N.YSDH,5.02,B,P,8.34,C,S
N.GOTH,5.66,B,P,9.52,C,S
N.HSMH,6.48,B,P,10.22,C,S
N.HIRH,6.56,B,P,10.88,C,S
N.KACH,6.43,B,P,10.73,C,S
N.IWAH,6.48,B,P,10.94,C,S
N.KTWH,7.83,B,P,13.01,C,S
N.KNGH,8.25,B,P,14.10,C,S
N.NITH,8.30,B,P,13.92,C,S
N.GEIH,8.92,B,P,15.02,C,S
N.KSIH,9.88,B,P,16.41,C,S
N.KSAH,11.03,B,P,18.02,C,S
N.HKTH,11.01,B,P,18.63,C,S
N.SGOH,11.75,B,P,20.13,C,S
N.MITH,12.22,B,P,20.99,C,S
N.MHSH,13.75,B,P,23.27,C,S
N.TTAH,13.68,B,P,23.36,C,S
N.HHIH,13.91,B,P,23.58,C,S
N.HISH,14.48,B,P,24.80,C,S
N.SKIH,15.85,B,P,27.15,C,S
N.MIHH,16.48,B,P,28.14,C,S
N.KURH,16.55,B,P,28.22,C,S
N.HKBH,16.33,B,P,28.02,C,S
N.YBRH,16.79,B,P,28.70,C,S
N.TMGH,17.12,B,P,29.18,C,S
N.NMKH,19.10,B,P,32.69,C,S
N.MKWH,20.02,B,P,34.16,C,S
N.TKBH,20.00,B,P,34.34,C,S
