obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.HRSH,3.30,B,P,5.34,C,S
N.TGUH,3.97,B,P,6.57,C,S
N.HISH,4.28,B,P,7.02,C,S
N.GEIH,4.83,B,P,8.04,C,S
N.SKIH,5.68,B,P,9.46,C,S
N.YSHH,5.83,B,P,9.77,C,S
N.HIKH,6.53,B,P,10.96,C,S
N.MITH,6.66,B,P,11.24,C,S
N.IWAH,6.79,B,P,11.35,C,S
N.KURH,7.20,B,P,12.22,C,S
N.OKMH,7.35,B,P,12.30,C,S
N.HHIH,7.30,B,P,12.28,C,S
N.KNGH,7.42,B,P,12.67,C,S
N.HSMH,7.55,B,P,12.82,C,S
N.MICH,8.74,B,P,14.91,C,S
N.MKWH,9.62,B,P,16.03,C,S
N.KSAH,9.67,B,P,16.37,C,S
N.OOCH,10.43,B,P,17.67,C,S
N.MIHH,10.73,B,P,18.29,C,S
N.TMGH,11.25,B,P,99.99,*,S
N.SYTH,11.47,B,P,19.46,C,S
N.MTMH,11.87,B,P,20.22,C,S
N.TOHH,11.92,B,P,20.33,C,S
N.MYKH,12.46,B,P,21.38,C,S
N.TKJH,12.69,B,P,21.92,C,S
N.YSDH,13.25,B,P,22.75,C,S
N.NMKH,15.08,B,P,26.12,C,S
N.MTOH,16.84,B,P,28.92,C,S
N.TBEH,16.56,B,P,28.43,C,S
N.HKTH,18.73,B,P,31.98,C,S
