obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKGH,2.52,B,P,4.21,C,S
N.KSBH,3.69,B,P,6.16,C,S
N.AKSH,3.73,B,P,6.19,C,S
N.YBRH,5.74,B,P,9.73,C,S
N.MZKH,5.73,B,P,9.62,C,S
N.KWHH,6.16,B,P,10.42,C,S
N.CHZH,7.10,B,P,99.99,*,S
N.HINH,8.02,B,P,99.99,*,S
N.SYOH,8.28,B,P,99.99,*,S
N.IAMH,8.62,B,P,99.99,*,S
N.MHSH,9.16,B,P,99.99,*,S
N.HKTH,15.63,B,P,99.99,*,S
N.OHAH,9.88,B,P,99.99,*,S
N.HKBH,9.88,B,P,99.99,*,S
N.TKBH,10.70,B,P,18.10,C,S
N.SGOH,10.31,B,P,17.91,C,S
N.TTAH,11.80,B,P,20.04,C,S
N.KMGH,12.63,B,P,99.99,*,S
N.KSIH,12.69,B,P,99.99,*,S
N.SGUH,14.40,B,P,99.99,*,S
N.KACH,14.29,B,P,24.24,C,S
N.HNSH,14.85,B,P,25.16,C,S
N.KAMH,17.52,B,P,29.72,C,S
N.UUMH,19.47,B,P,33.06,C,S
