obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TKJH,3.52,B,P,5.91,C,S
N.MTMH,3.93,B,P,6.56,C,S
N.MICH,4.85,B,P,8.04,C,S
N.HGIH,5.07,B,P,8.53,C,S
N.MTOH,5.58,B,P,9.35,C,S
N.HOFH,6.05,B,P,10.18,C,S
N.TMGH,6.14,B,P,10.19,C,S
N.MKWH,6.47,B,P,10.90,C,S
N.TKUH,7.67,B,P,12.87,C,S
N.HIKH,7.77,B,P,99.99,*,S
N.NGTH,7.73,B,P,13.13,C,S
N.IKNH,8.30,B,P,14.01,C,S
N.UBEH,8.87,B,P,15.08,C,S
N.SYTH,15.20,B,P,99.99,*,S
N.MNEH,9.24,B,P,15.51,C,S
N.MITH,9.51,B,P,16.13,C,S
N.HISH,20.24,B,P,99.99,*,S
N.TYUH,11.88,B,P,20.38,C,S
N.KNSH,12.23,B,P,20.63,C,S
N.OKMH,12.23,B,P,20.86,C,S
N.KKYH,22.76,B,P,99.99,*,S
N.KNGH,13.68,B,P,22.67,C,S
N.TOHH,14.10,B,P,24.04,C,S
N.KURH,26.37,B,P,99.99,*,S
N.IWAH,15.78,B,P,26.78,C,S
N.BZNH,16.01,B,P,26.94,C,S
N.AKIH,27.25,B,P,99.99,*,S
N.YMGH,17.16,B,P,28.19,C,S
N.DWAH,20.31,B,P,99.99,*,S
