obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.YSHH,4.06,B,P,6.69,C,S
N.HSMH,4.10,B,P,6.88,C,S
N.GEIH,5.62,B,P,9.44,C,S
N.IWAH,5.53,B,P,9.24,C,S
N.KSAH,5.92,B,P,9.99,C,S
N.HRSH,5.92,B,P,9.97,C,S
N.KTWH,6.16,B,P,10.44,C,S
N.DWAH,6.92,B,P,11.60,C,S
N.HHIH,6.92,B,P,11.65,C,S
N.OOCH,7.38,B,P,12.53,C,S
N.GOTH,7.68,B,P,13.14,C,S
N.KNGH,8.01,B,P,13.76,C,S
N.TGUH,8.09,B,P,99.99,*,S
N.HISH,8.35,B,P,14.13,C,S
N.YSDH,8.82,B,P,14.90,C,S
N.KURH,9.32,B,P,15.89,C,S
N.MIHH,9.58,B,P,16.31,C,S
N.MITH,9.99,B,P,17.03,C,S
N.SKIH,10.61,B,P,17.97,C,S
N.OKMH,11.33,B,P,19.22,C,S
N.KACH,11.82,B,P,20.11,C,S
N.SGOH,11.84,B,P,20.21,C,S
N.TTAH,12.14,B,P,20.96,C,S
N.NMKH,12.90,B,P,22.33,C,S
N.HKTH,13.81,B,P,23.60,C,S
N.MKWH,14.62,B,P,24.77,C,S
N.TMGH,15.30,B,P,26.40,C,S
N.TKBH,17.98,B,P,31.18,C,S
