obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.HISH,5.85,B,P,9.78,C,S
N.HRSH,5.91,B,P,9.92,C,S
N.HHIH,5.88,B,P,10.11,C,S
N.KURH,6.06,B,P,10.25,C,S
N.YSHH,6.31,B,P,10.72,C,S
N.OKMH,7.30,B,P,99.99,*,S
N.TGUH,7.43,B,P,12.67,C,S
N.DWAH,7.52,B,P,12.86,C,S
N.GEIH,7.78,B,P,13.16,C,S
N.KRHH,8.12,B,P,99.99,*,S
N.SKIH,8.18,B,P,13.77,C,S
N.MIHH,8.28,B,P,14.23,C,S
N.KSAH,8.48,B,P,14.82,C,S
N.HSMH,8.74,B,P,14.91,C,S
N.IWAH,9.27,B,P,15.64,C,S
N.MYKH,9.75,B,P,16.76,C,S
N.MITH,10.14,B,P,17.42,C,S
N.KNGH,10.56,B,P,99.99,*,S
N.MKWH,10.99,B,P,18.53,C,S
N.TOHH,10.93,B,P,18.62,C,S
N.MICH,11.31,B,P,19.40,C,S
N.OOCH,12.06,B,P,20.76,C,S
N.NMKH,12.25,B,P,99.99,*,S
N.HKTH,17.97,B,P,99.99,*,S
N.MTOH,18.74,B,P,99.99,*,S
