obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KNGH,2.80,B,P,4.52,C,S
N.MITH,3.36,B,P,5.53,C,S
N.GEIH,4.94,B,P,8.19,C,S
N.GOTH,5.20,B,P,8.63,C,S
N.IWAH,5.43,B,P,8.99,C,S
N.HIKH,5.45,B,P,9.05,C,S
N.TGUH,5.55,B,P,9.20,C,S
N.HRSH,7.03,B,P,11.71,C,S
N.TMGH,8.24,B,P,13.76,C,S
N.SKIH,8.49,B,P,14.30,C,S
N.HSMH,8.66,B,P,14.33,C,S
N.OOCH,8.59,B,P,14.43,C,S
N.HISH,9.19,B,P,15.41,C,S
N.MICH,9.08,B,P,15.24,C,S
N.MTMH,10.02,B,P,16.91,C,S
N.MKWH,12.11,B,P,20.22,C,S
N.OKMH,21.24,B,P,99.99,*,S
N.HHIH,21.30,B,P,99.99,*,S
N.KURH,13.12,B,P,22.17,C,S
N.KSAH,22.46,B,P,99.99,*,S
N.YSDH,13.32,B,P,22.36,C,S
N.TKJH,22.86,B,P,99.99,*,S
N.SYTH,15.12,B,P,99.99,*,S
N.KACH,26.53,B,P,99.99,*,S
N.MTOH,16.75,B,P,99.99,*,S
N.MIHH,16.36,B,P,27.64,C,S
N.TKUH,27.89,B,P,99.99,*,S
