obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KNGH,2.93,B,P,4.74,C,S
N.MITH,3.43,B,P,5.69,C,S
N.GEIH,5.01,B,P,8.34,C,S
N.GOTH,5.26,B,P,8.72,C,S
N.IWAH,5.50,B,P,9.14,C,S
N.HIKH,5.50,B,P,9.21,C,S
N.TGUH,5.61,B,P,9.26,C,S
N.HRSH,7.09,B,P,11.88,C,S
N.TMGH,8.16,B,P,99.99,*,S
N.SKIH,8.52,B,P,14.38,C,S
N.HSMH,8.61,B,P,14.46,C,S
N.OOCH,8.63,B,P,14.53,C,S
N.MICH,9.11,B,P,15.30,C,S
N.HISH,9.25,B,P,15.47,C,S
N.MTMH,10.00,B,P,16.96,C,S
N.MKWH,12.13,B,P,20.27,C,S
N.OKMH,12.63,B,P,99.99,*,S
N.HHIH,12.65,B,P,21.42,C,S
N.KURH,13.09,B,P,22.30,C,S
N.YSDH,13.41,B,P,22.46,C,S
N.KSAH,13.27,B,P,22.52,C,S
N.TKJH,13.56,B,P,22.87,C,S
N.HGIH,13.79,B,P,99.99,*,S
N.SYTH,15.12,B,P,25.41,C,S
N.KACH,15.74,B,P,26.43,C,S
N.MTOH,16.13,B,P,27.36,C,S
N.MIHH,16.31,B,P,27.81,C,S
N.TKUH,16.63,B,P,27.97,C,S
N.NGTH,16.94,B,P,28.86,C,S
