obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MKWH,2.72,B,P,4.37,C,S
N.SYTH,3.01,B,P,4.89,C,S
N.IKNH,3.36,B,P,5.45,C,S
N.TKUH,4.61,B,P,7.59,C,S
N.TKJH,5.77,B,P,9.65,C,S
N.MICH,6.07,B,P,10.16,C,S
N.KNSH,6.27,B,P,10.51,C,S
N.SKIH,6.46,B,P,10.65,C,S
N.OKMH,7.11,B,P,11.79,C,S
N.HOFH,7.30,B,P,12.23,C,S
N.TOHH,7.68,B,P,12.65,C,S
N.KRHH,8.20,B,P,99.99,*,S
N.HISH,8.70,B,P,14.46,C,S
N.HIKH,9.03,B,P,99.99,*,S
N.MTMH,9.40,B,P,15.84,C,S
N.MTOH,10.44,B,P,17.57,C,S
N.KURH,10.79,B,P,18.20,C,S
N.TMGH,11.10,B,P,99.99,*,S
N.MITH,11.10,B,P,18.79,C,S
N.HGIH,11.33,B,P,19.16,C,S
N.UBEH,11.43,B,P,19.53,C,S
N.IKTH,13.21,B,P,99.99,*,S
N.AKIH,13.03,B,P,22.17,C,S
N.TBEH,24.74,B,P,99.99,*,S
N.TYUH,28.31,B,P,99.99,*,S
N.BZNH,16.31,B,P,27.90,C,S
N.HSMH,17.07,B,P,28.92,C,S
N.OOCH,33.51,B,P,99.99,*,S
