obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MZKH,2.18,B,P,3.55,C,S
N.HINH,3.53,B,P,5.90,C,S
N.HKTH,3.61,B,P,6.01,C,S
N.AKSH,4.24,B,P,6.99,C,S
N.MHSH,4.76,B,P,8.19,C,S
N.SKGH,5.56,B,P,9.26,C,S
N.YBRH,5.79,B,P,9.79,C,S
N.NITH,6.44,B,P,10.84,C,S
N.SGOH,6.80,B,P,11.46,C,S
N.KSIH,7.27,B,P,12.38,C,S
N.KSBH,8.21,B,P,13.86,C,S
N.KACH,8.27,B,P,14.07,C,S
N.TTAH,8.98,B,P,15.31,C,S
N.HKBH,9.03,B,P,15.38,C,S
N.YSDH,9.78,B,P,16.55,C,S
N.TKBH,11.74,B,P,19.88,C,S
N.SYOH,12.18,B,P,20.93,C,S
N.CHZH,12.44,B,P,21.21,C,S
N.BSEH,13.58,B,P,99.99,*,S
N.IAMH,14.43,B,P,24.54,C,S
N.KSAH,14.78,B,P,25.09,C,S
N.OHAH,14.64,B,P,99.99,*,S
N.OOCH,24.99,B,P,99.99,*,S
N.KNBH,15.61,B,P,99.99,*,S
N.HSMH,15.28,B,P,25.90,C,S
N.KMGH,16.53,B,P,28.15,C,S
N.NMKH,18.68,B,P,99.99,*,S
