obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TBRH,3.80,B,P,6.16,C,S
N.MYKH,3.76,B,P,6.06,C,S
N.SJOH,4.62,B,P,7.38,C,S
N.MIHH,6.72,B,P,11.24,C,S
N.TBEH,8.11,B,P,13.47,C,S
N.IKKH,8.07,B,P,13.16,C,S
N.NMKH,8.15,B,P,13.76,C,S
N.GHKH,8.36,B,P,13.91,C,S
N.KURH,8.49,B,P,14.26,C,S
N.KRHH,9.10,B,P,15.47,C,S
N.HHIH,9.24,B,P,15.43,C,S
N.SINH,9.94,B,P,16.54,C,S
N.MTYH,10.10,B,P,16.76,C,S
N.MNOH,10.65,B,P,17.94,C,S
N.TOHH,10.84,B,P,17.98,C,S
N.OKMH,10.91,B,P,99.99,*,S
N.KNBH,11.10,B,P,18.85,C,S
N.OOZH,12.03,B,P,99.99,*,S
N.KSAH,12.58,B,P,21.22,C,S
N.HISH,12.69,B,P,21.59,C,S
N.SSKH,22.41,B,P,99.99,*,S
N.SKIH,15.47,B,P,26.30,C,S
N.HSMH,16.65,B,P,28.18,C,S
