obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.UUMH,4.91,B,P,8.10,C,S
N.MHRH,5.43,B,P,9.11,C,S
N.OHCH,6.90,B,P,11.64,C,S
N.AIOH,6.94,B,P,11.65,C,S
N.HNSH,7.48,B,P,12.54,C,S
N.KKGH,7.92,B,P,13.19,C,S
N.MKIH,8.21,B,P,13.81,C,S
N.WKYH,8.71,B,P,14.75,C,S
N.SGUH,9.18,B,P,15.27,C,S
N.KMGH,9.45,B,P,15.92,C,S
N.TOKH,9.54,B,P,15.77,C,S
N.SETH,9.82,B,P,16.73,C,S
N.YMSH,10.96,B,P,18.36,C,S
N.AYKH,10.99,B,P,18.79,C,S
N.TJOH,11.55,B,P,19.42,C,S
N.KAMH,12.89,B,P,21.68,C,S
N.KYDH,13.40,B,P,22.23,C,S
N.TKBH,13.58,B,P,23.21,C,S
N.CHZH,15.70,B,P,26.91,C,S
