obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KMGH,3.16,B,P,5.09,C,S
N.OHAH,3.76,B,P,6.27,C,S
N.NKOH,4.07,B,P,6.66,C,S
N.SYOH,4.29,B,P,7.12,C,S
N.SGUH,4.97,B,P,8.25,C,S
N.AIOH,5.23,B,P,8.66,C,S
N.HNSH,5.46,B,P,8.98,C,S
N.SETH,6.12,B,P,10.17,C,S
N.CHZH,6.30,B,P,10.42,C,S
N.HAGH,6.54,B,P,10.97,C,S
N.YMSH,6.63,B,P,11.18,C,S
N.TKBH,7.61,B,P,12.73,C,S
N.UUMH,9.83,B,P,16.69,C,S
N.KAMH,10.17,B,P,17.03,C,S
N.YBRH,10.49,B,P,17.75,C,S
N.HKBH,10.47,B,P,17.79,C,S
N.SKGH,11.26,B,P,19.18,C,S
N.SNTH,11.58,B,P,19.46,C,S
N.IAMH,11.60,B,P,19.56,C,S
N.TJOH,12.46,B,P,21.07,C,S
N.BSEH,13.00,B,P,22.32,C,S
N.MKIH,13.27,B,P,22.55,C,S
N.HKTH,16.64,B,P,28.25,C,S
N.KNHH,29.76,B,P,99.99,*,S
N.NMKH,17.80,B,P,99.99,*,S
N.MHSH,19.02,B,P,99.99,*,S
N.TOKH,18.28,B,P,99.99,*,S
