obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TMGH,6.48,B,P,99.99,*,S
N.HGIH,6.84,B,P,11.30,C,S
N.MTMH,7.46,B,P,12.59,C,S
N.NGTH,8.06,B,P,13.52,C,S
N.MTOH,9.89,B,P,16.87,C,S
N.MICH,11.52,B,P,19.43,C,S
N.HIKH,11.56,B,P,19.80,C,S
N.MITH,11.72,B,P,19.88,C,S
N.TKJH,11.84,B,P,20.00,C,S
N.MNEH,12.20,B,P,20.88,C,S
N.KIKH,12.39,B,P,21.10,C,S
N.TYUH,12.76,B,P,21.76,C,S
N.HOFH,13.61,B,P,23.01,C,S
N.UBEH,14.04,B,P,99.99,*,S
N.KNGH,14.33,B,P,24.49,C,S
N.MKWH,14.79,B,P,25.12,C,S
N.TGUH,14.74,B,P,25.21,C,S
N.SKIH,14.84,B,P,25.35,C,S
N.TKUH,16.33,B,P,27.68,C,S
N.IKNH,16.42,B,P,27.85,C,S
N.GEIH,16.56,B,P,28.31,C,S
N.KKYH,16.52,B,P,28.06,C,S
N.IWAH,17.23,B,P,29.52,C,S
N.HRSH,17.54,B,P,29.80,C,S
N.SYTH,17.74,B,P,29.87,C,S
N.HISH,17.70,B,P,30.40,C,S
N.OKMH,19.50,B,P,33.28,C,S
N.OOCH,19.56,B,P,33.87,C,S
N.GENH,19.86,B,P,34.30,C,S
N.HSMH,20.23,B,P,34.81,C,S
N.KNSH,20.85,B,P,35.75,C,S
N.BZNH,21.21,B,P,36.53,C,S
