obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.NGTH,2.72,B,P,4.45,C,S
N.MNEH,3.20,B,P,99.99,*,S
N.KIKH,3.57,B,P,5.98,C,S
N.MTOH,3.57,B,P,6.15,C,S
N.HGIH,5.00,B,P,8.47,C,S
N.UBEH,5.73,B,P,9.60,C,S
N.HOFH,7.56,B,P,12.74,C,S
N.KKYH,7.54,B,P,12.64,C,S
N.TKJH,8.56,B,P,14.44,C,S
N.MTMH,9.07,B,P,15.37,C,S
N.TMGH,11.04,B,P,18.53,C,S
N.TKUH,11.48,B,P,19.34,C,S
N.MICH,11.85,B,P,20.22,C,S
N.GENH,12.31,B,P,21.04,C,S
N.BZNH,12.28,B,P,20.75,C,S
N.MKWH,13.03,B,P,22.29,C,S
N.WKMH,13.66,B,P,23.18,C,S
N.SGWH,13.65,B,P,23.29,C,S
N.KAHH,14.48,B,P,24.63,C,S
N.SYTH,14.75,B,P,25.16,C,S
N.HIKH,14.70,B,P,24.94,C,S
N.YMGH,15.55,B,P,26.14,C,S
N.YGNH,15.72,B,P,26.95,C,S
N.SKIH,15.86,B,P,26.93,C,S
N.UMIH,15.89,B,P,99.99,*,S
N.MITH,15.96,B,P,27.35,C,S
N.AKIH,16.60,B,P,28.04,C,S
N.KNSH,16.58,B,P,28.31,C,S
N.UKHH,18.66,B,P,31.86,C,S
N.OKMH,19.18,B,P,32.92,C,S
