obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.NITH,2.72,B,P,4.44,C,S
N.HKTH,2.90,B,P,4.82,C,S
N.KACH,4.21,B,P,7.04,C,S
N.HINH,4.85,B,P,8.17,C,S
N.KSIH,5.04,B,P,8.64,C,S
N.YSDH,5.40,B,P,9.01,C,S
N.MHSH,6.24,B,P,99.99,*,S
N.SGOH,6.08,B,P,10.28,C,S
N.HIRH,6.22,B,P,10.26,C,S
N.MZKH,6.08,B,P,99.99,*,S
N.SDAH,6.91,B,P,11.65,C,S
N.KTWH,8.41,B,P,14.27,C,S
N.AKSH,8.63,B,P,14.75,C,S
N.TTAH,8.91,B,P,14.80,C,S
N.YBRH,8.91,B,P,15.16,C,S
N.SKGH,9.88,B,P,16.66,C,S
N.OOCH,10.21,B,P,17.37,C,S
N.HKBH,10.34,B,P,17.65,C,S
N.HSMH,11.21,B,P,19.02,C,S
N.KSAH,11.94,B,P,19.98,C,S
N.BSEH,13.19,B,P,22.65,C,S
N.IWAH,13.37,B,P,22.90,C,S
N.TKBH,13.80,B,P,23.42,C,S
N.KNBH,14.77,B,P,25.02,C,S
N.SYOH,15.67,B,P,26.69,C,S
N.KNGH,15.93,B,P,27.59,C,S
N.CHZH,16.68,B,P,28.07,C,S
N.NMKH,17.63,B,P,29.96,C,S
N.IAMH,18.95,B,P,32.16,C,S
