obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TBRH,3.84,B,P,6.27,C,S
N.MYKH,3.83,B,P,6.16,C,S
N.SJOH,4.72,B,P,7.66,C,S
N.MIHH,6.82,B,P,11.37,C,S
N.TBEH,7.94,B,P,99.99,*,S
N.IKKH,8.13,B,P,13.73,C,S
N.NMKH,8.27,B,P,14.00,C,S
N.GHKH,8.47,B,P,13.81,C,S
N.KURH,8.47,B,P,14.07,C,S
N.KRHH,9.05,B,P,15.26,C,S
N.HHIH,9.22,B,P,15.43,C,S
N.SINH,9.91,B,P,16.60,C,S
N.MTYH,10.19,B,P,99.99,*,S
N.TOHH,10.50,B,P,18.11,C,S
N.MNOH,10.79,B,P,18.19,C,S
N.OKMH,10.88,B,P,18.48,C,S
N.KNBH,11.21,B,P,19.11,C,S
N.OOZH,11.72,B,P,19.93,C,S
N.HISH,12.69,B,P,21.33,C,S
N.KSAH,12.63,B,P,21.25,C,S
N.SSKH,22.53,B,P,99.99,*,S
N.IKWH,13.31,B,P,22.48,C,S
N.SKIH,15.47,B,P,26.24,C,S
N.MKWH,16.79,B,P,28.14,C,S
N.HSMH,16.72,B,P,28.19,C,S
N.TKBH,33.13,B,P,99.99,*,S
