obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KSBH,3.01,B,P,4.86,C,S
N.SYOH,4.12,B,P,99.99,*,S
N.YBRH,4.42,B,P,7.25,C,S
N.SKGH,5.14,B,P,8.62,C,S
N.CHZH,5.40,B,P,9.03,C,S
N.TKBH,6.08,B,P,10.21,C,S
N.KWHH,6.63,B,P,10.92,C,S
N.OHAH,6.68,B,P,11.29,C,S
N.HKBH,6.76,B,P,11.25,C,S
N.AKSH,7.71,B,P,12.94,C,S
N.OKYH,7.81,B,P,13.20,C,S
N.MZKH,13.10,B,P,99.99,*,S
N.KMGH,8.38,B,P,14.17,C,S
N.SETH,8.48,B,P,14.18,C,S
N.TTAH,9.58,B,P,16.18,C,S
N.SGOH,9.84,B,P,16.59,C,S
N.HNSH,10.10,B,P,17.12,C,S
N.IAMH,10.45,B,P,17.53,C,S
N.HKTH,10.56,B,P,17.84,C,S
N.SGUH,10.85,B,P,18.35,C,S
N.BSEH,11.31,B,P,18.77,C,S
N.YMSH,11.90,B,P,20.30,C,S
N.KNBH,14.02,B,P,23.68,C,S
N.UUMH,14.59,B,P,24.91,C,S
N.KAMH,15.15,B,P,99.99,*,S
