obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TKJH,2.17,B,P,3.56,C,S
N.HOFH,4.22,B,P,7.11,C,S
N.MKWH,4.69,B,P,7.61,C,S
N.TKUH,4.77,B,P,7.92,C,S
N.MICH,5.16,B,P,8.59,C,S
N.MTOH,6.24,B,P,10.45,C,S
N.MTMH,6.36,B,P,10.75,C,S
N.SYTH,6.58,B,P,10.99,C,S
N.IKNH,6.63,B,P,11.03,C,S
N.HGIH,7.17,B,P,12.08,C,S
N.UBEH,8.06,B,P,13.53,C,S
N.SKIH,8.19,B,P,13.67,C,S
N.TMGH,8.63,B,P,99.99,*,S
N.HIKH,8.86,B,P,14.95,C,S
N.KNSH,9.37,B,P,15.77,C,S
N.NGTH,9.40,B,P,15.89,C,S
N.MNEH,9.58,B,P,16.41,C,S
N.OKMH,10.88,B,P,18.23,C,S
N.MITH,10.88,B,P,18.40,C,S
N.HISH,11.38,B,P,19.03,C,S
N.TOHH,11.86,B,P,19.86,C,S
N.TYUH,12.56,B,P,21.40,C,S
N.KKYH,12.95,B,P,22.31,C,S
N.AKIH,13.50,B,P,22.72,C,S
N.KURH,14.44,B,P,24.45,C,S
N.YMGH,14.36,B,P,24.34,C,S
N.BZNH,14.51,B,P,24.60,C,S
N.KNGH,14.95,B,P,25.46,C,S
N.IKTH,15.99,B,P,27.04,C,S
N.MISH,16.46,B,P,99.99,*,S
N.TBEH,31.73,B,P,99.99,*,S
N.HSMH,18.75,B,P,31.89,C,S
N.NTHH,19.11,B,P,99.99,*,S
