obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SGUH,3.12,B,P,5.01,C,S
N.AIOH,3.50,B,P,5.63,C,S
N.YMSH,4.59,B,P,7.51,C,S
N.KMGH,4.65,B,P,7.69,C,S
N.KKGH,4.94,B,P,8.34,C,S
N.NKOH,5.24,B,P,8.63,C,S
N.HNSH,6.05,B,P,10.08,C,S
N.OHAH,6.43,B,P,10.80,C,S
N.HAGH,7.14,B,P,11.89,C,S
N.KAMH,7.48,B,P,12.53,C,S
N.SYOH,8.15,B,P,13.88,C,S
N.SETH,8.37,B,P,14.17,C,S
N.TJOH,8.64,B,P,14.53,C,S
N.UUMH,8.99,B,P,15.18,C,S
N.CHZH,9.42,B,P,15.51,C,S
N.SNTH,9.97,B,P,16.69,C,S
N.TKBH,11.13,B,P,18.91,C,S
N.FKCH,12.27,B,P,20.78,C,S
N.KNHH,22.67,B,P,99.99,*,S
N.IAMH,13.75,B,P,23.13,C,S
