obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKGH,2.58,B,P,4.27,C,S
N.KSBH,3.52,B,P,5.85,C,S
N.AKSH,3.95,B,P,6.53,C,S
N.YBRH,5.66,B,P,9.46,C,S
N.MZKH,5.77,B,P,9.77,C,S
N.KWHH,6.12,B,P,10.36,C,S
N.CHZH,6.95,B,P,11.77,C,S
N.HINH,7.98,B,P,13.59,C,S
N.SYOH,8.13,B,P,13.13,C,S
N.IAMH,8.64,B,P,14.46,C,S
N.MHSH,9.38,B,P,99.99,*,S
N.HKTH,9.27,B,P,15.88,C,S
N.OHAH,9.62,B,P,16.57,C,S
N.HKBH,9.79,B,P,16.59,C,S
N.TKBH,10.54,B,P,17.77,C,S
N.SGOH,10.78,B,P,18.23,C,S
N.TTAH,11.73,B,P,19.91,C,S
N.KMGH,12.35,B,P,21.08,C,S
N.KSIH,12.90,B,P,99.99,*,S
N.SETH,13.20,B,P,22.21,C,S
N.SGUH,14.17,B,P,24.25,C,S
N.KACH,14.37,B,P,24.46,C,S
N.HNSH,24.80,B,P,99.99,*,S
N.BSEH,14.88,B,P,25.05,C,S
N.KAMH,17.34,B,P,29.44,C,S
N.UUMH,19.42,B,P,32.51,C,S
