obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.OOCH,2.82,B,P,4.59,C,S
N.SDAH,3.11,B,P,5.13,C,S
N.YSDH,4.90,B,P,8.11,C,S
N.GOTH,5.80,B,P,9.71,C,S
N.HIRH,6.25,B,P,10.32,C,S
N.KACH,6.17,B,P,10.32,C,S
N.HSMH,6.72,B,P,11.15,C,S
N.IWAH,6.70,B,P,11.27,C,S
N.KTWH,7.98,B,P,99.99,*,S
N.NITH,8.23,B,P,13.86,C,S
N.KNGH,8.44,B,P,14.47,C,S
N.GEIH,9.16,B,P,15.48,C,S
N.KSIH,9.65,B,P,16.35,C,S
N.HKTH,10.96,B,P,18.58,C,S
N.KSAH,11.34,B,P,19.25,C,S
N.SGOH,11.88,B,P,20.30,C,S
N.MITH,12.51,B,P,21.31,C,S
N.MHSH,13.80,B,P,23.03,C,S
N.TTAH,13.88,B,P,23.63,C,S
N.HHIH,14.29,B,P,24.15,C,S
N.HISH,14.70,B,P,25.27,C,S
N.SKIH,16.22,B,P,27.63,C,S
N.HKBH,16.50,B,P,28.42,C,S
N.MIHH,16.87,B,P,28.71,C,S
N.YBRH,16.87,B,P,28.74,C,S
N.KURH,16.96,B,P,28.86,C,S
N.AKSH,16.88,B,P,28.94,C,S
N.TMGH,17.40,B,P,99.99,*,S
N.BSEH,17.53,B,P,29.99,C,S
N.NMKH,19.51,B,P,33.22,C,S
