obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKIH,3.26,B,P,5.36,C,S
N.HISH,3.36,B,P,5.47,C,S
N.OKMH,3.56,B,P,5.80,C,S
N.IKNH,4.05,B,P,6.49,C,S
N.TGUH,5.58,B,P,9.34,C,S
N.MKWH,5.50,B,P,9.02,C,S
N.KRHH,5.58,B,P,9.45,C,S
N.HRSH,6.00,B,P,10.00,C,S
N.KURH,6.15,B,P,10.30,C,S
N.MICH,6.80,B,P,11.29,C,S
N.SYTH,6.91,B,P,11.54,C,S
N.HIKH,6.97,B,P,11.41,C,S
N.TOHH,7.84,B,P,13.13,C,S
N.MITH,8.50,B,P,14.21,C,S
N.HHIH,8.70,B,P,14.67,C,S
N.TKJH,9.75,B,P,16.63,C,S
N.KNSH,9.90,B,P,16.72,C,S
N.TKUH,10.03,B,P,16.74,C,S
N.MTMH,10.93,B,P,18.41,C,S
N.KNGH,11.19,B,P,18.68,C,S
N.IWAH,11.04,B,P,18.62,C,S
N.TMGH,11.40,B,P,19.24,C,S
N.MIHH,11.76,B,P,19.87,C,S
N.HSMH,11.98,B,P,20.21,C,S
N.MYKH,12.27,B,P,20.99,C,S
N.KSAH,12.85,B,P,21.75,C,S
N.TBEH,13.89,B,P,23.48,C,S
N.MTOH,14.47,B,P,24.65,C,S
N.OOCH,25.63,B,P,99.99,*,S
N.NMKH,16.56,B,P,27.99,C,S
N.MISH,29.83,B,P,99.99,*,S
