obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TMGH,4.02,B,P,99.99,*,S
N.MTMH,6.13,B,P,10.28,C,S
N.MITH,7.22,B,P,12.14,C,S
N.HIKH,7.80,B,P,13.02,C,S
N.HGIH,8.59,B,P,14.47,C,S
N.MICH,8.85,B,P,14.85,C,S
N.KNGH,9.47,B,P,16.20,C,S
N.TGUH,10.55,B,P,17.88,C,S
N.TKJH,10.97,B,P,18.41,C,S
N.NGTH,10.88,B,P,18.31,C,S
N.SKIH,11.46,B,P,19.21,C,S
N.MTOH,11.48,B,P,19.52,C,S
N.GOTH,11.27,B,P,19.40,C,S
N.GEIH,11.72,B,P,20.03,C,S
N.MKWH,12.51,B,P,21.11,C,S
N.IWAH,12.38,B,P,21.19,C,S
N.HRSH,13.21,B,P,22.24,C,S
N.IKNH,13.61,B,P,22.94,C,S
N.HISH,13.96,B,P,23.27,C,S
N.MNEH,14.55,B,P,24.86,C,S
N.OOCH,14.70,B,P,25.48,C,S
N.TKUH,15.28,B,P,26.14,C,S
N.SYTH,15.61,B,P,26.56,C,S
N.UBEH,15.60,B,P,26.69,C,S
N.HSMH,15.34,B,P,26.51,C,S
N.OKMH,16.26,B,P,27.13,C,S
N.TYUH,16.02,B,P,27.46,C,S
N.KURH,18.11,B,P,30.83,C,S
N.HHIH,18.69,B,P,31.95,C,S
N.KNSH,19.17,B,P,32.61,C,S
N.KKYH,19.01,B,P,32.61,C,S
N.TOHH,19.69,B,P,33.42,C,S
N.YSDH,19.29,B,P,33.58,C,S
N.KSAH,19.69,B,P,34.41,C,S
