obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SDAH,1.95,B,P,3.03,C,S
N.YSDH,3.27,B,P,5.43,C,S
N.KACH,3.49,B,P,5.83,C,S
N.HIRH,4.00,B,P,6.75,C,S
N.OOCH,5.03,B,P,8.29,C,S
N.NITH,5.90,B,P,9.81,C,S
N.KSIH,7.07,B,P,99.99,*,S
N.KTWH,7.56,B,P,12.70,C,S
N.HSMH,7.95,B,P,13.25,C,S
N.GOTH,8.30,B,P,14.12,C,S
N.HKTH,8.43,B,P,14.21,C,S
N.IWAH,8.92,B,P,99.99,*,S
N.SGOH,9.99,B,P,16.99,C,S
N.MHSH,10.87,B,P,99.99,*,S
N.KNGH,10.91,B,P,99.99,*,S
N.KSAH,11.44,B,P,19.45,C,S
N.TTAH,12.42,B,P,21.04,C,S
