obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.IWAH,3.69,B,P,6.09,C,S
N.GEIH,3.94,B,P,6.47,C,S
N.HSMH,4.35,B,P,7.30,C,S
N.YSHH,5.40,B,P,9.06,C,S
N.KNGH,5.50,B,P,8.84,C,S
N.HRSH,5.55,B,P,9.06,C,S
N.GOTH,5.46,B,P,9.24,C,S
N.OOCH,6.36,B,P,10.38,C,S
N.TGUH,6.86,B,P,11.29,C,S
N.MITH,7.58,B,P,12.86,C,S
N.KTWH,7.78,B,P,13.25,C,S
N.HISH,8.22,B,P,13.77,C,S
N.KSAH,8.32,B,P,14.32,C,S
N.HHIH,8.90,B,P,14.99,C,S
N.YSDH,9.29,B,P,15.75,C,S
N.SKIH,9.75,B,P,16.40,C,S
N.KURH,17.98,B,P,99.99,*,S
N.OKMH,11.62,B,P,19.67,C,S
N.MIHH,12.09,B,P,20.53,C,S
N.KACH,20.43,B,P,99.99,*,S
N.MICH,20.75,B,P,99.99,*,S
N.TMGH,13.00,B,P,99.99,*,S
N.MKWH,13.85,B,P,23.22,C,S
N.SGOH,13.77,B,P,23.59,C,S
N.MTMH,14.35,B,P,24.50,C,S
N.TTAH,14.60,B,P,24.93,C,S
N.HKTH,14.99,B,P,25.65,C,S
N.NMKH,15.75,B,P,27.02,C,S
N.MTOH,20.13,B,P,33.95,C,S
