obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.HKTH,2.45,B,P,3.97,C,S
N.NITH,3.43,B,P,5.72,C,S
N.HINH,4.02,B,P,6.74,C,S
N.MZKH,5.08,B,P,8.66,C,S
N.KACH,5.35,B,P,8.99,C,S
N.SGOH,5.73,B,P,9.68,C,S
N.MHSH,5.96,B,P,10.31,C,S
N.KSIH,5.76,B,P,9.77,C,S
N.YSDH,6.38,B,P,10.84,C,S
N.HIRH,7.29,B,P,12.56,C,S
N.AKSH,7.69,B,P,13.03,C,S
N.YBRH,7.88,B,P,13.49,C,S
N.SDAH,7.97,B,P,13.55,C,S
N.TTAH,8.42,B,P,14.24,C,S
N.SKGH,8.78,B,P,15.00,C,S
N.HKBH,9.54,B,P,16.41,C,S
N.OOCH,11.16,B,P,19.07,C,S
N.KSAH,12.19,B,P,20.72,C,S
N.HSMH,11.96,B,P,20.33,C,S
N.BSEH,12.90,B,P,21.83,C,S
N.TKBH,12.87,B,P,22.00,C,S
N.KNBH,14.52,B,P,24.44,C,S
N.IWAH,14.37,B,P,24.33,C,S
N.SYOH,14.47,B,P,24.95,C,S
N.CHZH,15.28,B,P,26.30,C,S
N.SETH,28.63,B,P,99.99,*,S
N.NMKH,17.32,B,P,99.99,*,S
N.IAMH,17.99,B,P,30.50,C,S
