obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KTWH,3.15,B,P,5.16,C,S
N.YSDH,3.40,B,P,5.56,C,S
N.SDAH,5.14,B,P,8.58,C,S
N.NITH,5.15,B,P,8.66,C,S
N.HSMH,5.46,B,P,99.99,*,S
N.JNSH,6.27,B,P,10.50,C,S
N.OOCH,6.36,B,P,10.46,C,S
N.KACH,6.32,B,P,10.64,C,S
N.KSAH,6.84,B,P,11.24,C,S
N.SGOH,6.91,B,P,11.69,C,S
N.HKTH,7.81,B,P,13.20,C,S
N.HIRH,8.20,B,P,13.84,C,S
N.YSHH,8.12,B,P,13.68,C,S
N.IWAH,8.18,B,P,13.73,C,S
N.TTAH,8.52,B,P,14.31,C,S
N.KSIH,9.95,B,P,16.89,C,S
N.HHIH,11.06,B,P,18.68,C,S
N.KNGH,11.21,B,P,19.63,C,S
N.HKBH,11.35,B,P,99.99,*,S
N.MHSH,12.16,B,P,20.32,C,S
N.BSEH,11.88,B,P,99.99,*,S
N.KNBH,12.22,B,P,20.81,C,S
N.YBRH,12.14,B,P,21.11,C,S
N.MIHH,12.64,B,P,21.71,C,S
N.AKSH,14.16,B,P,24.00,C,S
N.HISH,14.01,B,P,23.75,C,S
N.NMKH,14.17,B,P,24.39,C,S
N.KURH,14.46,B,P,24.73,C,S
N.TKBH,15.04,B,P,25.62,C,S
N.SKIH,16.27,B,P,27.93,C,S
