obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MITH,2.88,B,P,4.61,C,S
N.KNGH,3.27,B,P,5.37,C,S
N.HIKH,5.05,B,P,8.46,C,S
N.GEIH,5.41,B,P,9.05,C,S
N.TGUH,5.57,B,P,9.42,C,S
N.GOTH,9.67,B,P,99.99,*,S
N.IWAH,10.12,B,P,99.99,*,S
N.HRSH,7.41,B,P,12.33,C,S
N.TMGH,7.53,B,P,99.99,*,S
N.SKIH,8.36,B,P,14.08,C,S
N.MICH,8.68,B,P,14.56,C,S
N.HSMH,9.26,B,P,15.47,C,S
N.OOCH,9.22,B,P,15.62,C,S
N.HISH,9.29,B,P,15.64,C,S
N.MTMH,9.30,B,P,15.88,C,S
N.MKWH,11.84,B,P,19.75,C,S
N.OKMH,12.67,B,P,99.99,*,S
N.HHIH,22.14,B,P,99.99,*,S
N.KURH,22.71,B,P,99.99,*,S
N.HGIH,13.17,B,P,99.99,*,S
N.KSAH,23.56,B,P,99.99,*,S
N.YSDH,13.96,B,P,23.60,C,S
N.SYTH,15.04,B,P,25.02,C,S
N.MTOH,15.58,B,P,26.44,C,S
N.TKUH,27.35,B,P,99.99,*,S
N.KACH,16.15,B,P,27.69,C,S
N.NGTH,16.33,B,P,27.91,C,S
N.MIHH,28.52,B,P,99.99,*,S
N.TOHH,17.37,B,P,29.28,C,S
N.KNSH,31.17,B,P,99.99,*,S
