obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MHRH,2.92,B,P,4.73,C,S
N.WKYH,3.95,B,P,6.47,C,S
N.TJRH,6.45,B,P,10.70,C,S
N.NKMH,8.39,B,P,14.02,C,S
N.KKGH,9.07,B,P,15.26,C,S
N.NAGH,9.13,B,P,15.87,C,S
N.HRKH,9.48,B,P,15.65,C,S
N.TOKH,9.36,B,P,15.52,C,S
N.UUMH,9.14,B,P,15.50,C,S
N.KNHH,9.64,B,P,16.25,C,S
N.TJOH,11.09,B,P,18.66,C,S
N.MKIH,11.83,B,P,20.13,C,S
N.HNSH,11.97,B,P,20.27,C,S
N.SGUH,12.25,B,P,20.55,C,S
N.YMSH,13.12,B,P,22.28,C,S
N.KMGH,13.39,B,P,99.99,*,S
N.KAMH,14.02,B,P,23.71,C,S
N.TKBH,18.23,B,P,31.59,C,S
