obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MYKH,3.74,B,P,6.09,C,S
N.TBRH,3.94,B,P,6.53,C,S
N.SJOH,4.65,B,P,7.53,C,S
N.MIHH,6.72,B,P,11.19,C,S
N.NMKH,8.00,B,P,13.48,C,S
N.TBEH,8.11,B,P,99.99,*,S
N.IKKH,8.09,B,P,13.41,C,S
N.GHKH,8.42,B,P,13.67,C,S
N.KURH,8.51,B,P,14.14,C,S
N.HHIH,9.15,B,P,15.30,C,S
N.MIGH,9.21,B,P,15.58,C,S
N.SINH,9.78,B,P,16.40,C,S
N.MTYH,10.13,B,P,16.64,C,S
N.MNOH,17.88,B,P,99.99,*,S
N.TOHH,18.16,B,P,99.99,*,S
N.OKMH,10.98,B,P,18.99,C,S
N.KNBH,11.02,B,P,18.65,C,S
N.OOZH,11.90,B,P,99.99,*,S
N.KSAH,12.49,B,P,99.99,*,S
N.HISH,21.47,B,P,99.99,*,S
N.SKIH,15.54,B,P,26.17,C,S
N.HSMH,16.56,B,P,99.99,*,S
