obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKGH,2.92,B,P,4.82,C,S
N.KSBH,3.92,B,P,6.40,C,S
N.AKSH,3.99,B,P,6.47,C,S
N.YBRH,5.95,B,P,10.06,C,S
N.MZKH,5.89,B,P,9.95,C,S
N.KWHH,6.22,B,P,10.59,C,S
N.CHZH,7.19,B,P,12.16,C,S
N.HINH,8.06,B,P,13.78,C,S
N.SYOH,8.36,B,P,14.20,C,S
N.IAMH,8.55,B,P,14.42,C,S
N.MHSH,9.27,B,P,15.70,C,S
N.HKTH,9.37,B,P,15.92,C,S
N.OHAH,9.98,B,P,16.97,C,S
N.HKBH,10.07,B,P,17.11,C,S
N.TKBH,10.75,B,P,18.25,C,S
N.SGOH,10.80,B,P,18.45,C,S
N.TTAH,11.94,B,P,20.23,C,S
N.KMGH,12.59,B,P,21.28,C,S
N.KSIH,12.72,B,P,21.74,C,S
N.SETH,13.31,B,P,22.68,C,S
N.SGUH,14.47,B,P,24.59,C,S
N.KACH,14.27,B,P,24.50,C,S
N.HNSH,14.78,B,P,25.23,C,S
N.KAMH,17.47,B,P,29.78,C,S
N.UUMH,19.20,B,P,33.00,C,S
