obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.OOCH,2.96,B,P,4.81,C,S
N.SDAH,3.21,B,P,5.26,C,S
N.YSDH,4.76,B,P,7.85,C,S
N.GOTH,5.85,B,P,9.84,C,S
N.KACH,6.15,B,P,10.29,C,S
N.HIRH,6.37,B,P,10.77,C,S
N.HSMH,6.47,B,P,10.81,C,S
N.IWAH,6.64,B,P,11.12,C,S
N.KTWH,7.66,B,P,12.76,C,S
N.NITH,8.06,B,P,13.45,C,S
N.KNGH,8.45,B,P,14.38,C,S
N.GEIH,9.08,B,P,15.28,C,S
N.KSIH,9.66,B,P,99.99,*,S
N.KSAH,11.07,B,P,18.71,C,S
N.HKTH,10.79,B,P,18.12,C,S
N.SGOH,11.53,B,P,19.58,C,S
N.MITH,12.43,B,P,21.32,C,S
N.TTAH,13.47,B,P,23.02,C,S
N.HHIH,13.97,B,P,23.59,C,S
N.HISH,14.63,B,P,24.85,C,S
N.SKIH,16.04,B,P,27.43,C,S
N.MIHH,16.60,B,P,28.11,C,S
N.HKBH,16.20,B,P,27.80,C,S
N.KURH,16.65,B,P,28.35,C,S
N.YBRH,16.58,B,P,28.20,C,S
N.TMGH,17.40,B,P,29.66,C,S
N.NMKH,19.11,B,P,32.71,C,S
N.TKBH,19.80,B,P,34.07,C,S
N.MKWH,20.22,B,P,34.54,C,S
