obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.NMKH,2.58,B,P,4.28,C,S
N.KNBH,3.00,B,P,4.84,C,S
N.MIGH,4.47,B,P,7.45,C,S
N.BSEH,5.47,B,P,9.12,C,S
N.MIHH,6.08,B,P,10.30,C,S
N.MABH,6.58,B,P,11.17,C,S
N.DWAH,7.20,B,P,12.04,C,S
N.MYKH,7.32,B,P,12.34,C,S
N.MNOH,7.71,B,P,13.01,C,S
N.JNSH,8.08,B,P,13.67,C,S
N.KSAH,8.42,B,P,14.14,C,S
N.TAMH,8.61,B,P,14.50,C,S
N.TTAH,8.95,B,P,15.20,C,S
N.OKYH,9.28,B,P,99.99,*,S
N.HHIH,9.23,B,P,15.58,C,S
N.HKBH,10.19,B,P,17.16,C,S
N.AYKH,10.22,B,P,17.47,C,S
N.TKBH,11.01,B,P,18.67,C,S
N.SINH,11.23,B,P,18.92,C,S
N.SGOH,11.41,B,P,19.45,C,S
N.KURH,11.83,B,P,20.58,C,S
N.IKWH,11.94,B,P,20.48,C,S
N.HSMH,13.83,B,P,23.41,C,S
N.UUMH,14.55,B,P,25.15,C,S
N.HKTH,15.70,B,P,26.87,C,S
N.TBEH,16.06,B,P,28.01,C,S
N.OOCH,17.50,B,P,29.97,C,S
N.SKIH,18.39,B,P,31.66,C,S
