obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.UUMH,4.90,B,P,8.11,C,S
N.MHRH,5.41,B,P,9.09,C,S
N.AIOH,6.94,B,P,11.59,C,S
N.OHCH,6.90,B,P,11.73,C,S
N.HNSH,7.46,B,P,12.50,C,S
N.KKGH,7.89,B,P,13.12,C,S
N.MKIH,8.19,B,P,13.81,C,S
N.WKYH,8.68,B,P,14.79,C,S
N.SGUH,9.15,B,P,15.34,C,S
N.KMGH,9.40,B,P,15.96,C,S
N.TOKH,9.56,B,P,15.83,C,S
N.SETH,9.84,B,P,16.82,C,S
N.YMSH,10.91,B,P,99.99,*,S
N.TJOH,11.66,B,P,19.37,C,S
N.OHAH,12.76,B,P,99.99,*,S
N.KAMH,12.98,B,P,99.99,*,S
N.TKBH,13.59,B,P,23.23,C,S
N.CHZH,26.87,B,P,99.99,*,S
N.NMKH,32.35,B,P,99.99,*,S
