obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.HHIH,5.49,B,P,9.28,C,S
N.KURH,5.83,B,P,9.88,C,S
N.HISH,6.10,B,P,10.35,C,S
N.HRSH,6.23,B,P,10.56,C,S
N.YSHH,6.30,B,P,10.52,C,S
N.DWAH,7.05,B,P,12.02,C,S
N.OKMH,7.44,B,P,12.62,C,S
N.MIHH,7.61,B,P,13.11,C,S
N.KRHH,7.96,B,P,13.55,C,S
N.TGUH,8.01,B,P,13.66,C,S
N.KSAH,8.10,B,P,13.97,C,S
N.GEIH,8.20,B,P,14.05,C,S
N.SKIH,8.65,B,P,14.51,C,S
N.HSMH,8.85,B,P,15.19,C,S
N.MYKH,9.08,B,P,15.62,C,S
N.IWAH,9.43,B,P,16.24,C,S
N.MITH,10.76,B,P,18.57,C,S
N.TOHH,10.91,B,P,18.56,C,S
N.MKWH,11.35,B,P,19.60,C,S
N.NMKH,11.57,B,P,20.35,C,S
N.OOCH,12.39,B,P,99.99,*,S
N.TBEH,14.17,B,P,99.99,*,S
N.TMGH,15.20,B,P,26.10,C,S
N.HKTH,18.01,B,P,30.48,C,S
N.MTOH,19.35,B,P,33.60,C,S
N.TKBH,19.48,B,P,33.57,C,S
N.MISH,21.44,B,P,35.83,C,S
