obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKGH,2.64,B,P,4.40,C,S
N.KSBH,3.48,B,P,5.78,C,S
N.AKSH,4.03,B,P,6.79,C,S
N.YBRH,5.70,B,P,9.53,C,S
N.KWHH,6.03,B,P,10.19,C,S
N.MZKH,5.85,B,P,9.91,C,S
N.CHZH,6.88,B,P,11.62,C,S
N.SYOH,8.06,B,P,13.60,C,S
N.HINH,8.04,B,P,13.82,C,S
N.IAMH,8.54,B,P,14.37,C,S
N.MHSH,9.45,B,P,16.21,C,S
N.HKTH,9.34,B,P,15.95,C,S
N.OHAH,9.65,B,P,16.48,C,S
N.HKBH,9.80,B,P,16.70,C,S
N.TKBH,10.51,B,P,17.79,C,S
N.SGOH,10.77,B,P,18.40,C,S
N.TTAH,11.79,B,P,20.03,C,S
N.KMGH,12.31,B,P,21.03,C,S
N.KSIH,12.89,B,P,21.91,C,S
N.SETH,13.08,B,P,22.17,C,S
N.KAMH,17.24,B,P,29.50,C,S
N.UUMH,19.00,B,P,32.43,C,S
